name,category,company,seller,description,short_description,price,compare_price,cost_per_item,stock_quantity,sku,barcode,weight,dimensions,is_active,is_featured,is_digital,image_url
Camera Model 1,Electronics,Farhan,Default Seller,High quality Camera Model 1 from the Electronics category. Durable and reliable.,Best Camera Model 1 for your needs.,9325,18917,303,112,SKU-5001,8900001001,1.77,49x31x6,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,camera?lock=1"
Tool Kit Model 2,Automotive,Farhan,Default Seller,High quality Tool Kit Model 2 from the Automotive category. Durable and reliable.,Best Tool Kit Model 2 for your needs.,6299,17329,387,454,SKU-5002,8900001002,2.75,33x37x16,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/automotive,toolkit?lock=2"
Smartphone Model 3,Electronics,Farhan,Default Seller,High quality Smartphone Model 3 from the Electronics category. Durable and reliable.,Best Smartphone Model 3 for your needs.,11903,19988,358,129,SKU-5003,8900001003,1.52,20x31x13,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,smartphone?lock=3"
Foundation Model 4,Beauty,Farhan,Default Seller,High quality Foundation Model 4 from the Beauty category. Durable and reliable.,Best Foundation Model 4 for your needs.,1593,18536,394,232,SKU-5004,8900001004,4.62,42x15x9,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/beauty,foundation?lock=4"
Headphones Model 5,Electronics,Farhan,Default Seller,High quality Headphones Model 5 from the Electronics category. Durable and reliable.,Best Headphones Model 5 for your needs.,4772,15612,300,474,SKU-5005,8900001005,0.68,32x30x14,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/electronics,headphones?lock=5"
Building Blocks Model 6,Toys,Farhan,Default Seller,High quality Building Blocks Model 6 from the Toys category. Durable and reliable.,Best Building Blocks Model 6 for your needs.,10125,19778,322,495,SKU-5006,8900001006,2.9,26x40x14,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/toys,buildingblocks?lock=6"
Speaker Model 7,Electronics,Farhan,Default Seller,High quality Speaker Model 7 from the Electronics category. Durable and reliable.,Best Speaker Model 7 for your needs.,4477,18751,297,122,SKU-5007,8900001007,1.27,37x27x15,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/electronics,speaker?lock=7"
Headphones Model 8,Electronics,Farhan,Default Seller,High quality Headphones Model 8 from the Electronics category. Durable and reliable.,Best Headphones Model 8 for your needs.,508,17276,312,335,SKU-5008,8900001008,3.04,19x27x5,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/electronics,headphones?lock=8"
Textbook Model 9,Books,Farhan,Default Seller,High quality Textbook Model 9 from the Books category. Durable and reliable.,Best Textbook Model 9 for your needs.,8193,15343,203,189,SKU-5009,8900001009,0.62,29x17x12,TRUE,TRUE,FALSE,"https://loremflickr.com/800/800/books,textbook?lock=9"
Fan Model 10,Home & Kitchen,Farhan,Default Seller,High quality Fan Model 10 from the Home & Kitchen category. Durable and reliable.,Best Fan Model 10 for your needs.,8269,15551,315,139,SKU-5010,8900001010,4.66,36x29x15,TRUE,FALSE,FALSE,"https://loremflickr.com/800/800/home&kitchen,fan?lock=10"
